id,adunit_name,asset_name,adunit_id,status,integration_type,publisher,network,media_type,venue_type,venue_name,city,postal_code,county,state,dma,country,latitude,longitude,address,cpm,currency,four_week_impressions,impression_multiplier,bidstream_impressions,bidstream_inferred_impressions,screen_count,min_duration,max_duration,supports_video,supports_banner,supports_audio,supports_dynamic_creative,slot_dimensions,preferred_ad_format,ad_formats,restrictions,languages,open_ooh_venue_category_id,asset_image_url
1489686,1202,1202,3c028472-3676-4382-9cf8-ea5b2c5c45f6,live,API,New Tradition,New Tradition,,Outdoor|Billboards|Spectacular,1202,BOSTON,02118,Suffolk County - MA,MA,"Boston (Manchester), MA-NH",USA,42.345757,-71.061513,"213 Albany St, Boston, MA 02118",10.0000,USD,24162160,240.49,236184740,53222400,1,10,10,false,true,false,true,456x456,456x456,,,,30103,https://www.dropbox.com/scl/fo/9zz7d6z3t84bq91vfhgwh/AI5-8Y6Nv_HKJL7uSPOAbpw?rlkey=eza0vovpjnvf8h8ip3sjoqlld&st=plvuhuoy&dl=0
1503232,OT0TS7170,OT0TS7170,6186e51b-5b9b-42af-9a26-48b8ec6f1178,live,API,Outfront,The Wedge,Spectacular,Outdoor|Billboards|Spectacular,Digital Displays,NEW YORK,10036,New York County - NY,NY,"New York, NY",USA,40.759924,-73.984724,The Wedge - Broadway & 48th St,25.0000,USD,14866356,614.515377,81592676,922433,1,10,10,false,true,false,true,1400x840,1400x840,,"Cigars,Food & Drink,Government,Illegal Content,Law,Non-Standard Content,& Politics,Pornography",,30103,https://mapweb.outfront.com/handlers/image.ashx?t=photo&m=OT&p=0TS7170A
1526436,LO0001900,LO0001900,aedb0228-813c-45d5-9ad7-de9aabca8fc6,live,API,Outfront,Figueroa - Wilshire Grand,Spectacular,Outdoor|Billboards|Spectacular,Digital Displays,LOS ANGELES,90017,Los Angeles County - CA,CA,"Los Angeles, CA",USA,34.049652,-118.260106,The Wilshire Grand - Figueroa W/L N/O Seventh - WILSHIRE GRAND%,25.0000,USD,10062164,399.2922222,54385837,541188,1,8,8,false,true,false,true,1920x940,1920x940,1920x940,"Cigars,Government,Hotels,Law,& Politics",,30103,https://mapweb.outfront.com/handlers/image.ashx?t=photo&m=LO&p=0001900A
1526965,OT0TS7160,OT0TS7160,ae526d98-43e9-4b06-bc22-2e0987f38163,live,API,Outfront,2 Times Square,Spectacular,Outdoor|Billboards|Spectacular,Digital Displays,NEW YORK,10036,New York County - NY,NY,"New York, NY",USA,40.759392,-73.984820,The Cube - 47th St btw 7th Ave & Broadway,25.0000,USD,43212120,1786.215278,59963988,686186,1,10,10,false,true,false,true,4416x1656,4416x1656,,"Cigars,Food & Drink,Government,Illegal Content,Law,Non-Standard Content,& Politics,Pornography",,30103,https://mapweb.outfront.com/handlers/image.ashx?t=photo&m=OT&p=0TS7160A
1602674,NYC000250,NYC000250,5cb23e0f-05f3-4cd3-ad16-20a6b8b36b84,live,API,ClearChannelOutdoor,ClearChannelOutdoor Times Square,Spectacular,Outdoor|Billboards|Spectacular,NYC000250,NEW YORK,10036,New York County - NY,NY,"New York, NY",USA,40.760298,-73.984913,"",18.0000,USD,63023,624.0627446,26032952,26032952,1,15,15,true,true,false,true,3312x936,3312x936,,,,30103,""
1650764,NYC000016,NYC000016,3cd84024-ee99-44ef-a16d-c212b4c49578,live,API,ClearChannelOutdoor,ClearChannelOutdoor Times Square,Spectacular,Outdoor|Billboards|Spectacular,NYC000016,NEW YORK,10019,New York County - NY,NY,"New York, NY",USA,40.761033,-73.984625,"",18.0000,USD,23423,568.2432804,109330613,109330613,1,15,15,true,true,false,true,1188x814,1188x814,,,,30103,""
1650765,NYCBRILL5,NYCBRILL5,a7ebef3a-b0b8-445c-862d-9155d9294afc,live,API,ClearChannelOutdoor,ClearChannelOutdoor Times Square,Spectacular,Outdoor|Billboards|Spectacular,NYCBRILL5,NEW YORK,10019,New York County - NY,NY,"New York, NY",USA,40.761080,-73.984490,"",25.0000,USD,27085576,644.6386179,36611750,36611750,5,15,15,true,true,false,true,432x792,432x792,,,,30103,""
1657948,1052,1052,66aa7be3-757f-4b9b-a189-61e17e863ad8,on_demand,VAST,New Tradition,New Tradition,,Outdoor|Billboards|Spectacular,1052,NEW YORK,10036,New York County - NY,NY,"New York, NY",USA,40.756421,-73.986488,"1 Times Square (1471 Broadway), New York, NY, 10036",7.5000,USD,22683064,1125.15,0,0,1,15,15,true,true,false,false,1120x928,1120x928,1120x928,"Adult Education,AIDS/HIV,Alternative Medicine,Bed & Breakfasts,Body Art,Budget Travel,Business Travel,Camping,Cigars,Copyright Infringement,Extreme Graphic/Explicit Violence,Government,Hate Content,Hotels,Illegal Content,Incentivized,Law,Music,News,Non-Standard Content,& Politics,Pornography,Real Estate,Religion & Spirituality,Roleplaying Games,Spas,Spyware/Malware,Under Construction,Unmoderated UGC,U.S. Military,Warez",,30103,https://www.dropbox.com/scl/fo/8xgzuix8bkgvy1r10i7z2/AAKWg4X0v5li8qIWdg9nCnc?rlkey=if6ebxl4t5xjtypi0s71txkn1&st=6wphtbvq&dl=0
1658849,1201,1201,48b193f1-5e06-4372-8671-9f2657d03d5a,live,API,New Tradition,New Tradition,,Outdoor|Billboards|Spectacular,1201,BOSTON,02116,Suffolk County - MA,MA,"Boston (Manchester), MA-NH",USA,42.350968,-71.064829,240-242 Tremont St.,10.0000,USD,4848296,240.49,75470328,20740633,1,10,10,false,true,false,true,1710x855,1710x855,1710x855,"Adult Education,AIDS/HIV,Alternative Medicine,Bed & Breakfasts,Body Art,Budget Travel,Business Travel,Camping,Cigars,Copyright Infringement,Extreme Graphic/Explicit Violence,Government,Hate Content,Hotels,Illegal Content,Incentivized,Law,News,Non-Standard Content,& Politics,Pornography,Real Estate,Religion & Spirituality,Roleplaying Games,Spas,Spyware/Malware,Under Construction,Unmoderated UGC,U.S. Military,Warez",,30103,https://www.dropbox.com/scl/fo/dydul0pou2r6ddbaqaz5o/APVHwpoZex-lZBm7nIQH_qs?rlkey=fk1lbus07fion8dqh4k5y1tc8&st=8jfy27dv&dl=0
1659177,1051,1051,d2ace474-2ed6-486b-8de3-47aec30423d5,on_demand,VAST,New Tradition,New Tradition,,Outdoor|Billboards|Spectacular,1051,NEW YORK,10036,New York County - NY,NY,"New York, NY",USA,40.756421,-73.986488,"1 Times Square (1471 Broadway), New York, NY, 10036",7.5000,USD,11019556,4316.78,38350415,38350415,1,15,15,true,true,false,false,1312x7416,1312x7416,1312x7416,"Adult Education,AIDS/HIV,Alternative Medicine,Bed & Breakfasts,Body Art,Budget Travel,Business Travel,Camping,Cigars,Copyright Infringement,Extreme Graphic/Explicit Violence,Government,Hate Content,Hotels,Illegal Content,Incentivized,Law,Music,News,Non-Standard Content,& Politics,Pornography,Real Estate,Religion & Spirituality,Roleplaying Games,Spas,Spyware/Malware,Under Construction,Unmoderated UGC,U.S. Military,Warez",,30103,https://www.dropbox.com/scl/fo/gh94ud9buq1y6jecyljkl/ALt10DkZODvufuO3RRTuAoc?rlkey=9xdwh28le9neeofk17hxj957q&st=5d5kbgrr&dl=0
